sender_id,receiver_id,corrected,value
172,133,0,4.0
101,44,1,2.0
433,263,0,4.0
101,30,1,2.0
101,195,1,3.0
14,133,1,3.0
101,30,1,2.0
158,154,0,4.0
132,417,0,4.0
60,61,0,4.0
97,66,0,4.0
34,315,1,2.0
123,269,1,1.0
37,42,0,4.0
66,118,1,2.0
113,157,1,2.0
165,180,0,1.0
154,133,1,2.0
57,34,0,4.0
59,98,0,2.0
226,351,1,3.0
51,53,1,3.0
34,19,1,1.0
45,174,0,4.0
97,273,0,4.0
247,132,0,4.0
34,316,1,0.0
165,127,0,3.0
111,25,1,3.0
132,165,0,4.0
185,165,0,4.0
57,354,1,2.0
258,140,0,4.0
51,75,1,3.0
221,132,1,2.0
165,207,1,2.0
34,58,1,1.0
5,278,1,4.0
101,5,1,3.0
3,290,1,3.0
108,246,1,2.0
5,58,1,3.0
247,324,0,3.0
101,120,1,3.0
57,426,1,3.0
34,21,1,4.0
21,58,0,1.0
101,125,0,4.0
170,165,1,3.0
5,301,1,3.0
132,351,0,3.0
226,351,1,3.0
34,165,1,1.0
158,165,0,4.0
165,192,1,2.0
170,129,1,2.0
165,185,1,2.0
120,44,1,3.0
165,154,1,2.0
165,296,1,2.0
133,165,1,1.0
80,19,0,3.0
247,19,1,3.0
170,58,1,2.0
165,157,1,2.0
34,61,1,2.0
185,47,0,4.0
132,165,0,4.0
97,58,1,3.0
34,355,1,3.0
34,266,1,1.0
57,374,1,2.0
97,396,1,4.0
101,195,1,3.0
14,389,1,3.0
101,133,1,2.0
123,165,0,4.0
101,207,0,4.0
123,157,1,2.0
168,170,0,4.0
247,360,0,4.0
113,34,0,4.0
132,158,1,1.0
30,231,1,3.0
101,158,1,2.0
247,16,1,3.0
57,236,1,0.0
57,12,1,2.0
165,195,1,2.0
25,96,1,2.0
123,165,1,4.0
247,340,1,3.0
247,161,1,2.0
172,134,0,4.0
57,14,1,1.0
247,8,0,3.0
132,165,0,4.0
226,58,1,3.0
97,287,0,4.0
113,264,1,2.0
113,34,0,4.0
101,8,1,3.0
154,165,1,2.0
165,229,1,2.0
158,251,1,2.0
101,145,1,3.0
39,399,0,0.0
132,51,1,1.0
132,165,0,3.0
165,286,1,2.0
34,168,1,1.0
101,44,1,1.0
62,34,1,4.0
34,269,1,0.0
123,195,0,4.0
34,194,1,1.0
247,269,0,1.0
80,4,0,2.0
133,315,0,4.0
235,133,1,3.0
47,53,1,3.0
123,169,1,3.0
132,312,0,3.0
247,58,0,3.0
247,371,1,3.0
132,165,0,3.0
132,342,0,3.0
226,342,1,3.0
29,420,1,3.0
192,180,0,4.0
97,34,0,4.0
132,414,1,2.0
101,134,1,2.0
247,324,0,3.0
52,192,1,3.0
101,58,1,2.0
159,180,1,2.0
132,165,0,4.0
132,58,0,4.0
165,31,1,2.0
63,60,0,4.0
123,58,1,4.0
34,113,0,4.0
62,3,1,3.0
97,34,1,4.0
101,187,1,1.0
132,223,0,2.0
34,393,1,2.0
97,253,1,3.0
5,246,1,2.0
51,79,1,3.0
97,165,1,3.0
34,39,0,4.0
97,206,1,3.0
158,30,1,1.0
247,246,1,3.0
165,58,1,2.0
34,267,1,2.0
187,165,1,3.0
34,244,1,1.0
170,34,0,4.0
57,0,1,3.0
113,47,0,4.0
51,185,1,3.0
3,255,0,4.0
247,351,1,2.0
170,165,0,4.0
39,58,1,1.0
30,165,1,1.0
34,30,0,4.0
101,129,1,3.0
97,183,1,4.0
165,169,1,2.0
30,31,1,2.0
3,418,0,4.0
109,99,1,3.0
121,180,0,4.0
210,129,1,2.0
123,30,1,4.0
59,134,0,3.0
101,34,1,3.0
34,373,0,0.0
247,58,1,3.0
247,165,0,3.0
62,70,1,2.0
34,14,1,3.0
185,30,1,2.0
165,225,1,2.0
166,96,1,2.0
165,195,1,2.0
267,309,1,2.0
111,165,1,2.0
247,346,1,3.0
34,133,1,2.0
267,58,1,2.0
5,58,0,3.0
52,30,0,2.0
132,165,0,3.0
34,194,1,1.0
97,25,1,3.0
247,351,1,2.0
113,34,0,4.0
132,58,0,2.0
174,58,1,2.0
101,8,1,2.0
5,340,1,3.0
97,121,1,4.0
111,407,1,1.0
34,373,0,0.0
165,58,1,1.0
132,58,0,4.0
165,31,1,4.0
214,133,1,2.0
170,133,1,4.0
132,51,0,3.0
154,34,0,3.0
165,58,1,1.0
165,224,1,3.0
34,150,1,1.0
185,30,1,3.0
97,165,0,4.0
165,129,1,2.0
247,165,0,4.0
184,165,1,3.0
34,99,0,1.0
247,19,0,4.0
247,327,0,3.0
34,58,1,2.0
101,34,1,3.0
180,58,1,2.0
192,58,1,2.0
129,58,1,3.0
166,162,1,3.0
101,31,0,4.0
52,134,0,4.0
3,231,1,3.0
97,390,1,3.0
132,312,1,2.0
19,39,0,3.0
101,58,1,3.0
166,165,1,3.0
19,36,0,2.0
34,166,1,2.0
120,61,1,3.0
101,264,1,2.0
57,183,1,3.0
34,126,1,1.0
226,58,1,3.0
133,165,1,3.0
165,195,1,2.0
52,95,1,2.0
34,244,1,2.0
109,44,1,3.0
294,319,1,3.0
132,19,0,3.0
123,120,1,3.0
140,58,1,2.0
247,287,0,3.0
34,149,1,2.0
132,58,0,3.0
113,39,0,4.0
247,366,1,1.0
34,25,1,3.0
121,166,0,4.0
166,165,0,4.0
247,244,0,3.0
140,58,0,3.0
34,329,1,2.0
237,30,0,4.0
101,209,1,2.0
132,165,0,3.0
51,79,1,3.0
14,61,1,3.0
187,30,1,3.0
144,165,1,4.0
101,58,1,2.0
123,195,1,2.0
34,58,1,3.0
101,58,0,3.0
111,53,1,2.0
294,312,1,3.0
34,205,1,0.0
101,154,1,3.0
247,58,1,3.0
247,126,1,2.0
166,360,1,3.0
37,19,0,1.0
97,165,1,2.0
158,34,1,3.0
101,170,1,3.0
138,165,1,3.0
62,83,1,3.0
109,38,1,4.0
166,129,1,2.0
133,165,1,1.0
247,165,0,3.0
34,14,1,2.0
34,162,1,3.0
14,49,1,2.0
154,165,0,3.0
101,122,1,3.0
247,58,1,3.0
226,264,1,3.0
165,66,1,4.0
140,275,1,2.0
60,165,1,1.0
14,61,1,3.0
247,58,0,2.0
247,31,0,3.0
97,162,1,3.0
247,165,0,3.0
57,166,1,2.0
101,109,1,3.0
62,70,1,3.0
194,214,1,4.0
101,58,1,2.0
34,308,1,1.0
101,5,1,4.0
57,291,1,2.0
165,19,1,3.0
247,241,1,2.0
166,129,1,2.0
247,12,1,3.0
32,14,1,3.0
247,244,0,3.0
101,154,1,3.0
5,78,0,4.0
101,201,1,2.0
101,8,1,3.0
121,259,1,2.0
247,269,0,3.0
165,268,1,4.0
113,39,0,4.0
247,303,0,3.0
170,134,1,1.0
101,34,1,3.0
247,351,1,3.0
123,165,1,4.0
57,233,1,2.0
247,260,0,3.0
5,351,1,3.0
165,164,1,3.0
132,157,0,3.0
170,266,1,2.0
165,133,1,1.0
34,58,1,2.0
34,67,1,4.0
132,207,0,3.0
60,64,1,4.0
165,195,1,1.0
247,221,0,2.0
247,338,1,3.0
57,377,1,3.0
101,34,1,3.0
247,340,1,3.0
192,165,1,3.0
34,316,1,0.0
3,246,1,2.0
192,34,0,4.0
214,133,1,3.0
101,109,1,3.0
30,225,1,2.0
30,129,1,2.0
96,34,1,3.0
34,149,1,1.0
237,58,1,3.0
97,31,1,3.0
192,238,1,3.0
34,39,0,4.0
247,58,0,3.0
34,330,1,4.0
101,180,1,3.0
132,12,0,2.0
247,326,1,3.0
172,287,0,4.0
45,285,0,2.0
34,3,1,2.0
34,113,1,3.0
132,12,1,2.0
247,58,1,2.0
132,8,0,3.0
140,195,0,3.0
5,16,1,4.0
57,34,1,3.0
34,269,1,1.0
57,60,1,3.0
34,134,1,2.0
170,31,1,2.0
280,321,0,4.0
34,205,1,0.0
111,23,1,3.0
14,19,1,3.0
247,142,1,1.0
247,351,1,3.0
34,186,1,3.0
5,352,1,3.0
132,296,1,2.0
280,58,0,4.0
132,58,1,2.0
165,154,0,2.0
133,50,1,2.0
34,166,1,4.0
132,326,1,2.0
34,58,1,2.0
158,154,1,3.0
114,58,1,4.0
59,99,0,3.0
165,30,0,1.0
34,30,1,2.0
101,313,1,3.0
134,99,1,2.0
165,170,1,2.0
52,34,0,4.0
51,134,0,3.0
30,271,1,3.0
247,373,1,2.0
51,53,1,1.0
247,19,1,2.0
5,16,1,3.0
123,58,1,3.0
101,154,1,3.0
134,165,1,1.0
165,185,1,2.0
185,8,0,4.0
30,231,0,3.0
165,285,1,2.0
247,342,1,3.0
114,8,0,4.0
123,170,0,4.0
34,96,1,1.0
165,229,0,4.0
34,89,1,2.0
30,236,0,0.0
247,12,0,2.0
14,57,1,3.0
60,127,0,4.0
24,120,0,4.0
165,121,1,2.0
247,19,0,3.0
247,19,1,3.0
129,58,1,2.0
132,165,0,4.0
132,287,1,2.0
165,30,1,0.0
123,165,0,4.0
62,154,1,1.0
14,32,1,4.0
34,236,0,0.0
34,165,1,2.0
165,30,1,2.0
120,44,1,4.0
132,58,1,2.0
5,342,0,4.0
92,198,1,2.0
154,132,0,3.0
34,207,1,1.0
267,324,1,2.0
247,195,0,2.0
60,71,0,4.0
132,58,0,3.0
97,30,0,4.0
247,129,0,3.0
47,133,1,3.0
132,258,0,3.0
247,147,0,3.0
14,144,1,2.0
97,247,1,3.0
101,206,0,4.0
247,342,1,2.0
